"","TeamName","Abbr","PrimaryColor"
"1","Arizona Cardinals","ARI","#97233F"
"2","Atlanta Falcons","ATL","#A71930"
"3","Baltimore Ravens","BAL","#241773"
"4","Buffalo Bills","BUF","#00338D"
"5","Carolina Panthers","CAR","#0085CA"
"6","Chicago Bears","CHI","#0B162A"
"7","Cincinnati Bengals","CIN","#FB4F14"
"8","Cleveland Browns","CLE","##26201E"
"9","Dallas Cowboys","DAL","#ACC0C6"
"10","Denver Broncos","DEN","#002244"
"11","Detroit Lions","DET","#005A8B"
"12","Green Bay Packers","GB","#FFB612"
"13","Houston Texans","HOU","#03202F"
"14","Indianapolis Colts","IND","#002C5F"
"15","Jacksonville Jaguars","JAX","#006778"
"16","Kansas City Chiefs","KC","#E31837"
"17","Miami Dolphins","MIA","#B3995D"
"18","Minnesota Vikings","MIN","#008E97"
"19","New England Patriots","NE","#4F2683"
"20","New Orlean Saints","NO","#C60C30"
"21","New York Giants","NYG","#9F8958"
"22","New York Jets","NYJ","#0B2265"
"23","Oakland Raiders","OAK","#203731"
"24","Philadelphia Eagles","PHI","#A5ACAF"
"25","Pittsburgh Steelers","PIT","#004953"
"26","San Diego Chargers","SD","#000000"
"27","Seattle Seahawks","SEA","#0073CF"
"28","San Francisco 49ers","SF","#AA0000"
"29","St.Louis Rams","LA","#69BE28"
"30","Tampa Bay Buccaneers","TB","#D50A0A"
"31","Tennessee Titans","TEN","#4B92DB"
"32","Washington Redskins","WAS","#773141"
